target,base,pair,chain,blocknum,wbnb_reserve
0x7e35d0e9180bf3a1fc47b0d110be7a21a10b41fe,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xA73dF2423fF3a165d89024729ec5a62F821831d1,bsc,25543755,300.77189100917747
0x7e624fa0e1c4abfd309cc15719b7e2580887f570,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xA11265A58d9f5a2991fe8476a9aFea07031aC5bF,bsc,25543755,1652.8557804932973
0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x49837a48Abde7c525bdc86D9acBA39F739cBE22C,bsc,25543755,229.59872916738803
0x768d221e81524de52841aed976370b2e4f990416,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xD696e56642a28C5D4e0C18a0407b12F94693bb0F,bsc,25543755,563.5745465711268
0xd0f4afa85a667d27837e9c07c81169869c16dd16,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x9CDe6751d0de79593eb5436A4D9309F9f81cd64b,bsc,25543755,293.11475725452505
0x94d79c325268c898d2902050730f27a478c56cc1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0A9072E03E08070FC02e691dCAE8F9d70223D949,bsc,25543755,816.455142530641
0x46d0dac0926fa16707042cadc23f1eb4141fe86b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x42ee09445384093C9D903f6ce0F6379B76840D49,bsc,25543755,407.1348526969649
0xb6090a50f66046e3c6afb9311846a6432e45060a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0eA646D9394f43205534186FfE2E0b96dD6564D9,bsc,25543755,1280.1380887027601
0xbb3837fa11d4b789717c8f622ec4f6eee5375c49,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc13A534d6CaF1575f9d4B0D71fe0ABBfF0ae31E6,bsc,25543755,150.21812153238935
0x232fb065d9d24c34708eedbf03724f2e95abe768,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xB31Ecb43645EB273210838e710f2692CC6b30a11,bsc,25543755,1302.9476919150347
0x43c37e8240d0fccef747d12e201bf295e4226388,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16191699C8b65828A37b07DF16F374C3dFD168Fc,bsc,25543755,221.4339027588154
0x1fa4a73a3f0133f0025378af00236f3abdee5d63,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x9191B027C26d44b86177E64f992cf4DCd1F4E0eF,bsc,25543755,445.9138629030687
0x4e6415a5727ea08aae4580057187923aec331227,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xC309a6d2F1537922E06f15aA2eb21CaA1b2eEDb6,bsc,25543755,266.18609469345796
0xfb62ae373aca027177d1c18ee0862817f9080d08,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2B34ded9E8D60BF1F11fEAA3a30dff79C2338FB2,bsc,25543755,360.513403506904
